word_en	pos_en	word_sr	pos_sr	word_sr_1	pos_sr_1	word_sr_2	pos_sr_2	word_sr_3	pos_sr_3	word_sr_full	reflexive	lemma_sr	gpt_PoS_valid	gpt_lemma_valid	gpt_valid
abacus	NOUN	abakus	NOUN	abakus	NOUN	računaljka	NOUN	abakus	NOUN	abakus	0		True	False	False
abandon	NOUN	napuštanje	NOUN	napustiti	VERB	napuštanje	NOUN	napustiti	VERB	napuštanje	0	napuštanje	True	True	True
abandon	VERB	napustiti	VERB	napustiti	VERB	napustiti	VERB	napustiti	VERB	napustiti	0	napustiti	True	True	True
abandoned	ADJ	napušten	ADJ	napušten	ADJ	napušten	ADJ	napušten	ADJ	napušten	0	napušten	True	True	True
abandoned	VERB	napustiti	VERB	napustiti	VERB	napustiti	VERB	napustiti	VERB	napustiti	0	napustiti	True	True	True
abandonment	NOUN	napuštanje	NOUN	napuštanje	NOUN	napuštanje	NOUN	napuštanje	NOUN	napuštanje	0	napuštanje	True	True	True
abbot	NOUN	opat	NOUN	opat	NOUN	opat	NOUN	opat	NOUN	opat	0	opat	True	True	True
abduction	NOUN	otmica	NOUN	otmica	NOUN	otmica	NOUN	otmica	NOUN	otmica	0	otmica	True	True	True
aberration	NOUN	aberacija	NOUN	aberacija	NOUN	devijacija	NOUN	anomalija	NOUN	aberacija	0	aberacija	True	True	True
abhor	VERB	gnušati	VERB	gnušati se	VERB	gnušati se	VERB	prezirati	VERB	gnušati	0	gnušati	True	True	True
abhorrent	ADJ	odbojan	ADJ	odbojan	ADJ	odbojan	ADJ	odbojan	ADJ	odbojan	0	odbojan	True	True	True
abject	ADJ	jadan	ADJ	jadan	ADJ	jadan	ADJ	jadan	ADJ	jadan	0	jadan	True	True	True
abnormal	ADJ	nenormalan	ADJ	nenormalan	ADJ	nenormalan	ADJ	nenormalan	ADJ	nenormalan	0	nenormalan	True	True	True
abolish	VERB	ukinuti	VERB	ukinuti	VERB	ukinuti	VERB	ukinuti	VERB	ukinuti	0	ukinuti	True	True	True
abominable	ADJ	odvratan	ADJ	odvratan	ADJ	odvratan	ADJ	odvratno	ADJ	odvratan	0	odvratan	True	True	True
abomination	NOUN	gadost	NOUN	gadost	NOUN	odvratnost	NOUN	odvratnost	NOUN	gadost	0	gadost	True	True	True
abortion	NOUN	pobačaj	NOUN	pobačaj	NOUN	pobačaj	NOUN	abortus	NOUN	pobačaj	0	pobačaj	True	True	True
abortive	ADJ	neuspešan	ADJ	neuspešan	ADJ	neuspešan	ADJ	neuspeo	ADJ	neuspešan	0	neuspešan	True	True	True
abrupt	ADJ	nagao	ADJ	nagao	ADJ	nagao	ADJ	iznenadan	ADJ	nagao	0	nagao	True	True	True
abscess	NOUN	apsces	NOUN	apsces	NOUN	apsces	NOUN	apsces	NOUN	apsces	0	apsces	True	True	True
absence	NOUN	odsustvo	NOUN	odsustvo	NOUN	odsustvo	NOUN	odsustvo	NOUN	odsustvo	0	odsustvo	True	True	True
absent	ADJ	odsutan	ADJ	odsutan	ADJ	odsutan	ADJ	odsutan	ADJ	odsutan	0	odsutan	True	True	True
absent	VERB	otsustvovati	VERB	odsutan	ADJ	odsutan	ADJ	odsutan	ADJ	otsustvovati	0		True	False	False
absentee	NOUN	odsutnik	NOUN	odsutni	ADJ	odsutnik	NOUN	odsutni	ADJ	odsutnik	0		True	False	False
absolution	NOUN	oproštaj	NOUN	oproštaj	NOUN	oproštaj	NOUN	oprost	NOUN	oproštaj	0	oproštaj	True	True	True
abundance	NOUN	obilje	NOUN	obilje	NOUN	obilje	NOUN	obilje	NOUN	obilje	0	obilje	True	True	True
abundant	ADJ	obilan	ADJ	obilan	ADJ	obilan	ADJ	obilan	ADJ	obilan	0	obilan	True	True	True
abuse	NOUN	zlostavljanje	NOUN	zlostavljanje	NOUN	zlostavljanje	NOUN	zlostavljanje	NOUN	zlostavljanje	0	zlostavljanje	True	True	True
abuse	VERB	zlostavljati	VERB	zlostavljati	VERB	zlostavljati	VERB	zlostavljati	VERB	zlostavljati	0	zlostavljati	True	True	True
abysmal	ADJ	bezdan	ADJ	bezdan	ADJ	bedan	ADJ	bedan	ADJ	bezdan	0	bezdan	True	True	True
abyss	NOUN	ponor	NOUN	ponor	NOUN	ambis	NOUN	ponor	NOUN	ponor	0	ponor	True	True	True
academic	ADJ	akademski	ADJ	akademski	ADJ	akademski	ADJ	akademski	ADJ	akademski	0	akademski	True	True	True
academic	NOUN	akademik	NOUN	akademski	ADJ	akademski	ADJ	akademski	ADJ	akademik	0	akademik	True	True	True
accelerate	VERB	ubrzati	VERB	ubrzati	VERB	ubrzati	VERB	ubrzati	VERB	ubrzati	0	ubrzati	True	True	True
accident	NOUN	nesreća	NOUN	nesreća	NOUN	nesreća	NOUN	nesreća	NOUN	nesreća	0	nesreća	True	True	True
accidental	ADJ	slučajan	ADJ	slučajan	ADJ	slučajan	ADJ	slučajan	ADJ	slučajan	0	slučajan	True	True	True
accidental	NOUN	slučajnost	NOUN	slučajnost	NOUN	slučaj	NOUN	slučaj	NOUN	slučajnost	0	slučajnost	True	True	True
accidentally	ADV	slučajno	ADV	slučajno	ADV	slučajno	ADV	slučajno	ADJ	slučajno	0	slučajno	True	True	True
accolade	NOUN	priznanje	NOUN	priznanje	NOUN	priznanje	NOUN	priznanje	NOUN	priznanje	0	priznanje	True	True	True
accompaniment	NOUN	pratnja	NOUN	pratnja	NOUN	pratnja	NOUN	pratnja	NOUN	pratnja	0	pratnja	True	True	True
accomplish	VERB	postići	VERB	postići	VERB	ostvariti	VERB	postići	VERB	postići	0	postignuti	True	False	False
accomplished	ADJ	postignut	ADJ	postignut	ADJ	ostvaren	ADJ	postignut	ADJ	postignut	0	postignut	True	True	True
accord	NOUN	saglasnost	NOUN	saglasnost	NOUN	sporazum	NOUN	sporazum	NOUN	saglasnost	0	saglasnost	True	True	True
accord	VERB	usaglasiti	VERB	usaglasiti	VERB	pridati	VERB	uskladiti	VERB	usaglasiti	0	usaglasiti	True	True	True
account	NOUN	račun	NOUN	račun	NOUN	račun	NOUN	račun	NOUN	račun	0	račun	True	True	True
account	VERB	računati	VERB	računati	VERB	računati	VERB	računati	VERB	računati	0	računati	True	True	True
accountability	NOUN	odgovornost	NOUN	odgovornost	NOUN	odgovornost	NOUN	odgovornost	NOUN	odgovornost	0	odgovornost	True	True	True
accountable	ADJ	odgovoran	ADJ	odgovoran	ADJ	odgovoran	ADJ	odgovoran	ADJ	odgovoran	0	odgovoran	True	True	True
accountant	NOUN	računovođa	NOUN	računovođa	NOUN	računovođa	NOUN	računovođa	NOUN	računovođa	0	računovođa	True	True	True
accredit	VERB	akreditovati	VERB	akreditovati	VERB	akreditovati	VERB	akreditovati	VERB	akreditovati	0	akreditovati	True	True	True
accredited	ADJ	akreditovan	ADJ	akreditovan	ADJ	akreditovan	ADJ	akreditovan	ADJ	akreditovan	0	akreditovan	True	True	True
accurate	ADJ	tačan	ADJ	tačan	ADJ	tačan	ADJ	tačan	ADJ	tačan	0	tačan	True	True	True
accurse	VERB	prokleti	VERB	prokleti	ADJ	prokleti	ADJ	prokleti	VERB	prokleti	0	prokleti	True	True	True
accursed	ADJ	proklet	ADJ	proklet	ADJ	proklet	ADJ	proklet	ADJ	proklet	0	proklet	True	True	True
accusation	NOUN	optužba	NOUN	optužba	NOUN	optužba	NOUN	optužba	NOUN	optužba	0	optužba	True	True	True
accuse	VERB	optužiti	VERB	optužiti	VERB	optužiti	VERB	optužiti	VERB	optužiti	0	optužiti	True	True	True
accused	NOUN	optuženi	NOUN	optuženi	ADJ	optuženi	ADJ	optuženi	ADJ	optuženi	0		True	False	False
accuser	NOUN	optužilac	NOUN	optužilac	NOUN	optužitelj	NOUN	optužilac	NOUN	optužilac	0		True	False	False
accusing	ADJ	optužujući	ADJ	optužujući	ADJ	optužujući	ADJ	optužujući	ADJ	optužujući	0	optužujući	True	True	True
ache	NOUN	bol	NOUN	bol	NOUN	bol	NOUN	bol	NOUN	bol	0	bol	True	True	True
ache	VERB	boljeti	VERB	boljeti	VERB	bolovati	VERB	bolovati	VERB	boljeti	0		True	False	False
achieve	VERB	postići	VERB	postići	VERB	postići	VERB	postići	VERB	postići	0	postignuti	True	False	False
achievement	NOUN	dostignuće	NOUN	dostignuće	NOUN	dostignuće	NOUN	postignuće	NOUN	dostignuće	0	dostignuće	True	True	True
aching	ADJ	bolan	ADJ	bolan	ADJ	bolan	ADJ	bolan	ADJ	bolan	0	bolan	True	True	True
aching	NOUN	bol	NOUN	bol	NOUN	bol	NOUN	bol	NOUN	bol	0	bol	True	True	True
