word_en	pos_en	word_sr	word_sr_full	reflexive	pos_sr	lemma_sr	gt_PoS_valid	gt_lemma_valid	gt_valid
abacus	NOUN	abakus	abakus	0	NOUN		True	False	False
abandon	NOUN	napustiti	napustiti	0	NOUN		True	False	False
abandon	VERB	napustiti	napustiti	0	VERB	napustiti	True	True	True
abandoned	ADJ	napušten	napušten	0	ADJ	napušten	True	True	True
abandoned	VERB	napušten	napušten	0	VERB	napustiti	True	False	False
abandonment	NOUN	napuštanje	napuštanje	0	NOUN	napuštanje	True	True	True
abbot	NOUN	iguman	iguman	0	NOUN	iguman	True	True	True
abduction	NOUN	otmica	otmica	0	NOUN	otmica	True	True	True
aberration	NOUN	aberacija	aberacija	0	NOUN	aberacija	True	True	True
abhor	VERB	gnušati	gnušati se	1	VERB	gnušati	True	True	True
abhorrent	ADJ	odvratan	odvratan	0	ADJ	odvratan	True	True	True
abject	ADJ	odvratan	odvratan	0	ADJ	odvratan	True	True	True
abnormal	ADJ	abnormalno	abnormalno	0	ADJ	abnormalan	True	False	False
abolish	VERB	ukinuti	ukinuti	0	VERB	ukinuti	True	True	True
abominable	ADJ	odvratan	odvratan	0	ADJ	odvratan	True	True	True
abomination	NOUN	odvratnost	odvratnost	0	NOUN	odvratnost	True	True	True
abortion	NOUN	abortus	abortus	0	NOUN	abortus	True	True	True
abortive	ADJ	abortivni	abortivni	0	ADJ	abortivni	True	True	True
abrupt	ADJ	naglo	naglo	0	ADJ	nagao	True	False	False
abscess	NOUN	apsces	apsces	0	NOUN	apsces	True	True	True
absence	NOUN	odsustvo	odsustvo	0	NOUN	odsustvo	True	True	True
absent	ADJ	odsutan	odsutan	0	ADJ	odsutan	True	True	True
absent	VERB	odsutan	odsutan	0	VERB		True	False	False
absentee	NOUN	odsutan	odsutan	0	NOUN		True	False	False
absolution	NOUN	oproštenje	oproštenje	0	NOUN	oproštenje	True	True	True
abundance	NOUN	zastupljenost	zastupljenost	0	NOUN	zastupljenost	True	True	True
abundant	ADJ	obilno	obilno	0	ADJ	obilan	True	False	False
abuse	NOUN	zloupotreba	zloupotreba	0	NOUN	zloupotreba	True	True	True
abuse	VERB	zloupotreba	zloupotreba	0	VERB		True	False	False
abysmal	ADJ	bezdan	bezdan	0	ADJ	bezdan	True	True	True
abyss	NOUN	bezdan	bezdan	0	NOUN	bezdan	True	True	True
academic	ADJ	akademski	akademski	0	ADJ	akademski	True	True	True
academic	NOUN	akademski	akademski	0	NOUN		True	False	False
accelerate	VERB	ubrzati	ubrzati	0	VERB	ubrzati	True	True	True
accident	NOUN	nezgoda	nezgoda	0	NOUN	nezgoda	True	True	True
accidental	ADJ	slučajno	slučajno	0	ADJ	slučajan	True	False	False
accidental	NOUN	slučajno	slučajno	0	NOUN		True	False	False
accidentally	ADV	slučajno	slučajno	0	ADV	slučajno	True	True	True
accolade	NOUN	accolade	accolade	0	NOUN		True	False	False
accompaniment	NOUN	pratnja	pratnja	0	NOUN	pratnja	True	True	True
accomplish	VERB	ostvariti	ostvariti	0	VERB	ostvariti	True	True	True
accomplished	ADJ	ostvareno	ostvareno	0	ADJ	ostvaren	True	False	False
accord	NOUN	sporazum	sporazum	0	NOUN	sporazum	True	True	True
accord	VERB	sporazum	sporazum	0	VERB		True	False	False
account	NOUN	račun	račun	0	NOUN	račun	True	True	True
account	VERB	račun	račun	0	VERB		True	False	False
accountability	NOUN	odgovornost	odgovornost	0	NOUN	odgovornost	True	True	True
accountable	ADJ	odgovoran	odgovoran	0	ADJ	odgovoran	True	True	True
